alpha_rad,P,FI
5.254610085031908434e-02,8.364048997423272347e-01,2.737686455569407137e-02
1.332229425598999151e-01,8.391758051433791943e-01,1.809294129766639836e-01
2.138997842694807250e-01,8.342308932762398932e-01,4.783922685635034755e-01
2.945766259790615349e-01,8.046472077028220538e-01,8.124390532520514574e-01
3.752534676886423726e-01,7.752682017258956115e-01,1.191678049583994925e+00
4.559303093982232102e-01,7.428419847833722667e-01,1.485637762976952159e+00
5.366071511078039924e-01,6.948286919775918946e-01,1.817646239181476053e+00
6.172839928173848856e-01,6.378684832896063250e-01,2.031907498749736529e+00
6.979608345269656677e-01,5.796892727055896755e-01,2.240849761756456004e+00
7.786376762365464499e-01,5.183879907944528576e-01,2.318063865143602964e+00
8.593145179461273431e-01,4.548360256926548550e-01,2.397041823455493770e+00
9.399913596557081252e-01,4.019615585401026259e-01,2.369619341712261296e+00
1.020668201365289018e+00,3.338978246108629255e-01,2.365254954853689640e+00
1.101345043074869912e+00,2.855106663677942080e-01,2.243208563238663356e+00
1.182021884784450805e+00,2.286111463681463618e-01,2.160806262483864426e+00
1.262698726494031476e+00,1.831846236706340947e-01,1.987579728099877485e+00
1.343375568203612369e+00,1.444439072983509376e-01,1.459181101040797790e+00
1.424052409913193262e+00,1.152798981706420339e-01,7.052935822823858114e-01
1.504729251622773933e+00,9.112148190085651855e-02,1.595143920891212430e-01
1.585406093332354827e+00,8.689076748051158261e-02,6.934414981066125763e-03
1.666082935041935720e+00,9.356362565051941360e-02,2.440415438251374858e-01
1.746759776751516391e+00,9.763810228625803556e-02,5.412316297249968322e-01
1.827436618461097284e+00,1.203046642482941131e-01,8.543432597467242040e-01
1.908113460170678177e+00,1.476241013089702181e-01,1.318919013363109904e+00
1.988790301880258848e+00,1.751224726706538115e-01,1.658654558565460180e+00
2.069467143589839964e+00,2.279547302303566447e-01,1.992507680662652936e+00
2.150143985299420635e+00,2.865773633094660378e-01,2.147945410524060961e+00
2.230820827009001306e+00,3.361998579455756642e-01,2.250876595445742812e+00
2.311497668718582421e+00,3.991297437361548961e-01,2.250800591723974176e+00
2.392174510428163092e+00,4.531446170887469260e-01,2.246227189684031345e+00
2.472851352137743763e+00,5.080343068320455346e-01,2.201694876101857101e+00
2.553528193847324879e+00,5.750305601278690171e-01,2.067262316885372986e+00
2.634205035556905550e+00,6.215791963940231479e-01,1.928045867273627589e+00
2.714881877266486221e+00,6.780557408055324364e-01,1.676187321006287201e+00
2.795558718976067336e+00,7.300018144674373932e-01,1.365111600819333137e+00
2.876235560685648007e+00,7.625767670618686100e-01,9.604542353745658678e-01
